Tier,Q1 ID,Q1 Domain,Q1 File,Q2 ID,Q2 Domain,Q2 File,Combined %,Question Sim %,Options Sim %,Same Answer?,Q1 Answer,Q2 Answer,Q1 Question Text,Q2 Question Text,Q1 Options (A/B/C/D),Q2 Options (A/B/C/D),Notes,Action (KEEP Q1 / KEEP Q2 / KEEP BOTH / REVIEW),Audited
DUPLICATE,q056,1,domain1.json,q605,2,domain2.json,100.0,100,100,YES,C,C,Which of the following is the customer’s responsibility under the AWS shared responsibility model?,Which of the following is the customer's responsibility under the AWS shared responsibility model?,A: Patching underlying infrastructure | B: Physical security | C: Patching Amazon EC2 instances | D: Patching network infrastructure,A: Patching underlying infrastructure | B: Physical security | C: Patching Amazon EC2 instances | D: Patching network infrastructure,Cross-domain: D1 vs D2; Exact duplicate,,
DUPLICATE,q057,1,domain1.json,q719,2,domain2.json,100.0,100,100,YES,C,C,According to the AWS shared responsibility model who is responsible for configuration management?,"According to the AWS shared responsibility model, who is responsible for configuration management?",A: It is solely the responsibility of the customer. | B: It is solely the responsibility of AWS. | C: It is shared between AWS and the customer. | D: It is not part of the AWS shared responsibility model.,A: It is solely the responsibility of the customer. | B: It is solely the responsibility of AWS. | C: It is shared between AWS and the customer. | D: It is not part of the AWS shared responsibility model.,Cross-domain: D1 vs D2; Exact duplicate,,
DUPLICATE,q060,1,domain1.json,q626,2,domain2.json,100.0,100,100,YES,"A, C","A, C","Under the shared responsibility model, which of the following tasks are the responsibility of the AWS customer? (Select TWO)","Under the shared responsibility model, which of the following tasks are the responsibility of the AWS customer? (Select TWO.)",A: Ensuring that application data is encrypted at rest. | B: Ensuring that AWS NTP servers are set to the correct time. | C: Ensuring that users have received security training in the use of AWS services. | D: Ensuring that access to data centers is restricted. | E: Ensuring that hardware is disposed of properly.,A: Ensuring that application data is encrypted at rest | B: Ensuring that AWS NTP servers are set to the correct time | C: Ensuring that users have received security training in the use of AWS services | D: Ensuring that access to data centers is restricted | E: Ensuring that hardware is disposed of properly,Cross-domain: D1 vs D2; Exact duplicate,,
DUPLICATE,q138,1,domain1.json,q624,1,domain1.json,100.0,100,100,YES,"B, D","B, D",What can AWS edge locations be used for? (Select TWO),What can AWS edge locations be used for? (Select TWO.),A: Hosting applications. | B: Delivering content closer to users. | C: Running NoSQL database caching services. | D: Reducing traffic on the server by caching responses. | E: Sending notification messages to end users.,A: Hosting applications | B: Delivering content closer to users | C: Running NoSQL database caching services | D: Reducing traffic on the server by caching responses | E: Sending notification messages to end users,Exact duplicate,,
DUPLICATE,q146,1,domain1.json,q607,1,domain1.json,100.0,100,100,YES,"A, C","A, C",A customer is deploying a new application and needs to choose an AWS Region. Which of the following factors could influence the customer’s decision? (Select TWO),A customer is deploying a new application and needs to choose an AWS Region. Which of the following factors could influence the customer's decision? (Select TWO.),A: Reduced latency to users. | B: The application’s presentation in the local language. | C: Data sovereignty compliance. | D: Cooling costs in hotter climates. | E: Proximity to the customer’s office for on-site visits.,A: Reduced latency to users | B: The application's presentation in the local language | C: Data sovereignty compliance | D: Cooling costs in hotter climates | E: Proximity to the customer's office for on-site visits,Exact duplicate,,
DUPLICATE,q537,1,domain1.json,q805,1,domain1.json,100.0,100,100,YES,B,B,Which element of the AWS global infrastructure consists of one or more discrete data centers each with redundant power networking and connectivity which are housed in separate facilities?,"Which element of the AWS global infrastructure consists of one or more discrete data centers, each with redundant power, networking, and connectivity, which are housed in separate facilities?",A: AWS Regions. | B: Availability Zones. | C: Edge locations. | D: Amazon CloudFront.,A: AWS Regions | B: Availability Zones | C: Edge locations | D: Amazon CloudFront,Exact duplicate,,
DUPLICATE,q539,1,domain1.json,q610,1,domain1.json,100.0,100,100,YES,B,B,The AWS Cloud’s multiple Regions are an example of:,The AWS Cloud's multiple Regions are an example of:,A: Agility. | B: Global infrastructure. | C: Elasticity. | D: Pay-as-you-go pricing.,A: agility. | B: global infrastructure. | C: elasticity. | D: pay-as-you-go pricing.,Exact duplicate,,
DUPLICATE,q553,1,domain1.json,q632,2,domain2.json,100.0,100,100,YES,B,B,According to the AWS shared responsibility model what is the sole responsibility of AWS?,"According to the AWS shared responsibility model, what is the sole responsibility of AWS?",A: Application security. | B: Edge location management. | C: Patch management. | D: Client-side data.,A: Application security | B: Edge location management | C: Patch management | D: Client-side data,Cross-domain: D1 vs D2; Exact duplicate,,
DUPLICATE,q564,1,domain1.json,q601,2,domain2.json,100.0,100,100,YES,"B, D","B, D","Under the AWS shared responsibility model, which of the following activities are the customer’s responsibility? (Select TWO)","Under the AWS shared responsibility model, which of the following activities are the customer's responsibility? (Select TWO.)",A: Patching operating system components for Amazon Relational Database Server (Amazon RDS). | B: Encrypting data on the client-side. | C: Training the data center staff. | D: Configuring Network Access Control Lists (ACL). | E: Maintaining environmental controls within a data center.,A: Patching operating system components for Amazon Relational Database Server (Amazon RDS) | B: Encrypting data on the client-side | C: Training the data center staff | D: Configuring Network Access Control Lists (ACL) | E: Maintaining environmental controls within a data center,Cross-domain: D1 vs D2; Exact duplicate,,
DUPLICATE,q600,1,domain1.json,q560,4,domain4.json,100.0,100,100,YES,C,C,Which AWS feature will reduce the customer's total cost of ownership (TCO)?,Which AWS feature will reduce the customer’s total cost of ownership (TCO)?,A: Shared responsibility security model | B: Single tenancy | C: Elastic computing | D: Encryption,A: Shared responsibility security model. | B: Single tenancy. | C: Elastic computing. | D: Encryption.,Cross-domain: D1 vs D4; Exact duplicate,,
DUPLICATE,q604,1,domain1.json,q159,3,domain3.json,100.0,100,100,YES,B,B,Which feature of the AWS Cloud will support an international company's requirement for low latency to all of its customers?,Which feature of the AWS Cloud will support an international company’s requirement for low latency to all of its customers?,A: Fault tolerance | B: Global reach | C: Pay-as-you-go pricing | D: High availability,A: Fault tolerance. | B: Global reach. | C: Pay-as-you-go pricing. | D: High availability.,Cross-domain: D1 vs D3; Exact duplicate,,
DUPLICATE,q614,1,domain1.json,q556,3,domain3.json,100.0,100,100,YES,"C, E","C, E",Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO.),Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO),A: Use manual monitoring. | B: Use fixed servers. | C: Implement loose coupling. | D: Rely on individual components. | E: Design for scalability.,A: Use manual monitoring. | B: Use fixed servers. | C: Implement loose coupling. | D: Rely on individual components. | E: Design for scalability.,Cross-domain: D1 vs D3; Exact duplicate,,
DUPLICATE,q621,1,domain1.json,q567,3,domain3.json,100.0,100,100,YES,A,A,How do customers benefit from Amazon's massive economies of scale?,How do customers benefit from Amazon’s massive economies of scale?,A: Periodic price reductions as the result of Amazon's operational efficiencies | B: New Amazon EC2 instance types providing the latest hardware | C: The ability to scale up and down when needed | D: Increased reliability in the underlying hardware of Amazon EC2 instances,A: Periodic price reductions as the result of Amazon’s operational efficiencies. | B: New Amazon EC2 instance types providing the latest hardware. | C: The ability to scale up and down when needed. | D: Increased reliability in the underlying hardware of Amazon EC2 instances.,Cross-domain: D1 vs D3; Exact duplicate,,
DUPLICATE,q126,2,domain2.json,q617,2,domain2.json,100.0,100,100,YES,"B, E","B, E",Which of the following security measures protect access to an AWS account? (Select TWO),Which of the following security measures protect access to an AWS account? (Select TWO.),A: Enable AWS CloudTrail. | B: Grant least privilege access to IAM users. | C: Create one IAM user and share with many developers and users. | D: Enable Amazon CloudFront. | E: Activate multi-factor authentication (MFA) for privileged users.,A: Enable AWS CloudTrail. | B: Grant least privilege access to IAM users. | C: Create one IAM user and share with many developers and users. | D: Enable Amazon CloudFront. | E: Activate multi-factor authentication (MFA) for privileged users.,Exact duplicate,,
DUPLICATE,q163,2,domain2.json,q602,2,domain2.json,100.0,100,100,YES,"D, E","D, E",AWS supports which of the following methods to add security to Identity and Access Management (IAM) users? (Select TWO),AWS supports which of the following methods to add security to Identity and Access Management (IAM) users? (Select TWO.),A: Implementing Amazon Rekognition. | B: Using AWS Shield-protected resources. | C: Blocking access with Security Groups. | D: Using Multi-Factor Authentication (MFA). | E: Enforcing password strength and expiration.,A: Implementing Amazon Rekognition | B: Using AWS Shield-protected resources | C: Blocking access with Security Groups | D: Using Multi-Factor Authentication (MFA) | E: Enforcing password strength and expiration,Exact duplicate,,
DUPLICATE,q547,2,domain2.json,q179,3,domain3.json,100.0,100,100,YES,C,C,Which of the following can limit Amazon Simple Storage Service (Amazon S3) bucket access to specific users?,Which of the following can limit Amazon Simple Storage Service (Amazon S3) bucket access to specific users?,A: A public and private key-pair. | B: Amazon Inspector. | C: AWS Identity and Access Management (IAM) policies. | D: Security Groups.,A: A public and private key-pair. | B: Amazon Inspector. | C: AWS Identity and Access Management (IAM) policies. | D: Security Groups.,Cross-domain: D2 vs D3; Exact duplicate,,
DUPLICATE,q555,2,domain2.json,q718,2,domain2.json,100.0,100,100,NO,A,B,Which AWS service identifies security groups that allow unrestricted access to a user’s AWS resources?,Which AWS service identifies security groups that allow unrestricted access to a user's AWS resources?,A: AWS Trusted Advisor. | B: Amazon Inspector. | C: Amazon CloudWatch. | D: AWS CloudTrail.,A: AWS CloudTrail | B: AWS Trusted Advisor | C: Amazon CloudWatch | D: Amazon Inspector,DIFFERENT ANSWERS; Exact duplicate,,
DUPLICATE,q612,2,domain2.json,q170,3,domain3.json,100.0,100,100,YES,"B, C","B, C",Which of the following security-related services does AWS offer? (Select TWO.),Which of the following security-related services does AWS offer? (Select TWO),A: Multi-factor authentication physical tokens | B: AWS Trusted Advisor security checks | C: Data encryption | D: Automated penetration testing | E: Amazon S3 copyrighted content detection,A: Multi-factor authentication physical tokens. | B: AWS Trusted Advisor security checks. | C: Data encryption. | D: Automated penetration testing. | E: Amazon S3 copyrighted content detection.,Cross-domain: D2 vs D3; Exact duplicate,,
DUPLICATE,q619,2,domain2.json,q102,3,domain3.json,100.0,100,100,YES,"B, E","B, E",Which options does AWS make available for customers who want to learn about security in the cloud in an instructor-led setting? (Select TWO.),Which options does AWS make available for customers who want to learn about security in the cloud in an instructor-led setting? (Select TWO),A: AWS Trusted Advisor | B: AWS Online Tech Talks | C: AWS Blog | D: AWS Forums | E: AWS Classroom Training,A: AWS Trusted Advisor. | B: AWS Online Tech Talks. | C: AWS Blog. | D: AWS Forums. | E: AWS Classroom Training.,Cross-domain: D2 vs D3; Exact duplicate,,
DUPLICATE,q622,2,domain2.json,q078,3,domain3.json,100.0,100,100,YES,"C, E","C, E",Which AWS services can be used to gather information about AWS account activity? (Select TWO.),Which AWS services can be used to gather information about AWS account activity? (Select TWO),A: Amazon CloudFront | B: AWS Cloud9 | C: AWS CloudTrail | D: AWS CloudHSM | E: Amazon CloudWatch,A: Amazon CloudFront. | B: AWS Cloud9. | C: AWS CloudTrail. | D: AWS CloudHSM. | E: Amazon CloudWatch.,Cross-domain: D2 vs D3; Exact duplicate,,
DUPLICATE,q623,2,domain2.json,q107,3,domain3.json,100.0,100,100,YES,"A, C","A, C",Which of the following common IT tasks can AWS cover to free up company IT resources? (Select TWO.),Which of the following common IT tasks can AWS cover to free up company IT resources? (Select TWO),A: Patching databases software | B: Testing application releases | C: Backing up databases | D: Creating database schema | E: Running penetration tests,A: Patching databases software. | B: Testing application releases. | C: Backing up databases. | D: Creating database schema. | E: Running penetration tests.,Cross-domain: D2 vs D3; Exact duplicate,,
DUPLICATE,q631,2,domain2.json,q162,3,domain3.json,100.0,100,100,YES,B,B,"Which of the following services falls under the responsibility of the customer to maintain operating system configuration, security patching, and networking?","Which of the following services falls under the responsibility of the customer to maintain operating system configuration, security patching, and networking?",A: Amazon RDS | B: Amazon EC2 | C: Amazon ElastiCache | D: AWS Fargate,A: Amazon RDS. | B: Amazon EC2. | C: Amazon ElastiCache. | D: AWS Fargate.,Cross-domain: D2 vs D3; Exact duplicate,,
DUPLICATE,q051,3,domain3.json,q616,3,domain3.json,100.0,100,100,YES,"B, E","B, E",Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO),Which of the following can an AWS customer use to launch a new Amazon Relational Database Service (Amazon RDS) cluster? (Select TWO.),A: AWS Concierge. | B: AWS CloudFormation. | C: Amazon Simple Storage Service (Amazon S3). | D: Amazon EC2 Auto Scaling. | E: AWS Management Console.,A: AWS Concierge | B: AWS CloudFormation | C: Amazon Simple Storage Service (Amazon S3) | D: Amazon EC2 Auto Scaling | E: AWS Management Console,Exact duplicate,,
